filepath,label,original_split
largeFaceShape_dataset\train\oval\oval-245-_jpg.rf.5b64da9b34938d38cce54719451496e7.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-69-_jpg.rf.136f986a050845f391f5b7f0156baaf2.jpg,long,train
largeFaceShape_dataset\train\long\oblong-865-_jpg.rf.8a86b08f20c985816d1252aea2604b76.jpg,long,train
largeFaceShape_dataset\train\square\square-37-_jpg.rf.a95e6d2383df27f45f3f23694b6c4204.jpg,square,train
largeFaceShape_dataset\train\square\square-576-_jpg.rf.7d10c01f71d37d0d7a37a482ddad40f5.jpg,square,train
largeFaceShape_dataset\train\square\square-87-_jpg.rf.b06eeb75a70a2dc3a5a6f542b09e0c4a.jpg,square,train
largeFaceShape_dataset\train\heart\heart-147-_jpg.rf.536e905b65de2cc785f19b2ab6224ee6.jpg,heart,train
largeFaceShape_dataset\train\round\round-419-_jpg.rf.3e2ef837f5392eca0b858d57bf3d545e.jpg,round,train
largeFaceShape_dataset\train\oval\oval-545-_jpg.rf.5570b20cd8211bd541d06025fcedb32e.jpg,oval,train
largeFaceShape_dataset\train\round\round-694-_jpg.rf.6a8b98b107d086c2b753a01c6e2e333e.jpg,round,train
largeFaceShape_dataset\train\long\oblong-100-_jpg.rf.94741e385c5904f9eb6d0fa3faf5528e.jpg,long,train
largeFaceShape_dataset\train\heart\heart-290-_jpg.rf.13a4c51a2cdf6926d543e195727abb17.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-493-_jpg.rf.012c952f7593fe7b476fe4ca3edf9e28.jpg,long,train
largeFaceShape_dataset\train\heart\heart-949-_jpg.rf.c01af6a532c42823154fb66e2a6980fb.jpg,heart,train
largeFaceShape_dataset\train\square\square-332-_jpg.rf.770570a161c28cd45e0907e6f179a27f.jpg,square,train
largeFaceShape_dataset\train\round\round-547_jpg.rf.3985675e05c79eb882417933d939fed0.jpg,round,train
largeFaceShape_dataset\train\long\oblong-284-_jpg.rf.c392ac352c561083cbfc918e28d6034a.jpg,long,train
largeFaceShape_dataset\train\long\oblong-867-_jpg.rf.6b873dddf74b30a4b97570fb186a7d47.jpg,long,train
largeFaceShape_dataset\train\round\round-115-_jpg.rf.43b2401985dc18a98478f909d6d136ca.jpg,round,train
largeFaceShape_dataset\train\square\image-square-103_jpg.rf.48b9c3c7056f62d03ebe378ba533965a.jpg,square,train
largeFaceShape_dataset\train\heart\heart-302-_jpg.rf.21dd4c0c31f789a8db01ba240c94bda7.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-283-_jpg.rf.df51668d47ea6a5c78c92aa8c7393a3e.jpg,oval,train
largeFaceShape_dataset\train\long\6_jpg.rf.c5e57e1bc258e763d25feb176ad0b9e1.jpg,long,train
largeFaceShape_dataset\train\square\square-125-_jpg.rf.34844d2e5a466e51cf59a5a55d006032.jpg,square,train
largeFaceShape_dataset\train\round\round-231-_jpg.rf.381db76aa46751ef6e7b527e7b91e42a.jpg,round,train
largeFaceShape_dataset\train\oval\image-ovale-254_jpg.rf.f24d0bf51b6809a42dda395a0384beff.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-279-_jpg.rf.0a7dd36e10907aae03a7f23a54012fbb.jpg,long,train
largeFaceShape_dataset\train\long\oblong-520-_jpg.rf.85aaa751db62a619b9a4e05918a62f0a.jpg,long,train
largeFaceShape_dataset\train\round\round-379-_jpg.rf.a3311c027a73f022882c30c4d7ac6a8d.jpg,round,train
largeFaceShape_dataset\test\long\oblong-923-_jpg.rf.c8d7e314de1009ee0e686eadd99133e3.jpg,long,test
largeFaceShape_dataset\train\long\oblong-767-_jpg.rf.126c582201066a3b488d8b480fdec2b4.jpg,long,train
largeFaceShape_dataset\train\oval\image-ovale-189_jpg.rf.0701c96238ab182ae7ae88d67b551cd9.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-283-_jpg.rf.41dfb35fe56882d7f1774d1a2596589c.jpg,oval,train
largeFaceShape_dataset\test\heart\heart-413-_jpg.rf.0819b60325cb1699ecd89c865c30468d.jpg,heart,test
largeFaceShape_dataset\train\round\image-round-61_jpg.rf.d54c987332b52ce41247efbeb6bd8d7f.jpg,round,train
largeFaceShape_dataset\train\oval\oval-307-_jpg.rf.295359eb0b817d6c7f81b5c767516fd8.jpg,oval,train
largeFaceShape_dataset\train\square\square-41-_jpg.rf.22773012d23df570423bbd21fe5e00fb.jpg,square,train
largeFaceShape_dataset\train\round\round-617_jpg.rf.7de7fd6f8efba0735ea984ee5e51a1ea.jpg,round,train
largeFaceShape_dataset\train\long\oblong-976-_jpg.rf.c48bfb023b945ee2dd52d2f7b094a124.jpg,long,train
largeFaceShape_dataset\train\heart\heart-945-_jpg.rf.1d65d7d4b79803e4bb72278446a288c9.jpg,heart,train
largeFaceShape_dataset\train\square\square-262-_jpg.rf.4b3a410a006e13c0e0dbc7de17ecf3ff.jpg,square,train
largeFaceShape_dataset\train\oval\24_jpg.rf.01c155871f56f38654826d3511d63d2d.jpg,oval,train
largeFaceShape_dataset\train\round\round-465_jpg.rf.b7e7600d1a6e58e55c47a0509261ed44.jpg,round,train
largeFaceShape_dataset\train\square\square-294-_jpg.rf.73a34173d69262b842f1d8d879c81d45.jpg,square,train
largeFaceShape_dataset\train\round\round-512_jpg.rf.aeba6fff3d4f7a41f8498629d55703b1.jpg,round,train
largeFaceShape_dataset\train\round\round-78-_jpg.rf.e9cc0124cd71cd664f0616e3927f8da0.jpg,round,train
largeFaceShape_dataset\train\round\round-576-_jpg.rf.a26cb21d48c25a3556ca2d831ba8a925.jpg,round,train
largeFaceShape_dataset\train\oval\oval-705-_jpg.rf.9809402fc25a7e08b969cb4d33170f79.jpg,oval,train
largeFaceShape_dataset\train\square\square-373-_jpg.rf.4586cea30b4e447fb0f056268d152c03.jpg,square,train
largeFaceShape_dataset\train\oval\oval-582-_jpg.rf.4db1b47f2ba6508c90601a8ac9ab703b.jpg,oval,train
largeFaceShape_dataset\train\oval\image-ovale-278_jpg.rf.f620ed4d1f156ca4a3ce2c78769c29b9.jpg,oval,train
largeFaceShape_dataset\train\square\square-278_jpg.rf.5b831ce677ef3eb8b7e54ca430baa9b2.jpg,square,train
largeFaceShape_dataset\test\long\oblong-680-_jpg.rf.2be0b113ac69b192ded3165379b92ef2.jpg,long,test
largeFaceShape_dataset\train\oval\oval-481-_jpg.rf.2383505ef86af61e8da6117cb701347c.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-732-_jpg.rf.6fe0db00fa2b429b52dbf0ac110dc4b3.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-175-_jpg.rf.844d303efde0bde3e7e0212ee1672987.jpg,heart,train
largeFaceShape_dataset\train\square\square-748-_jpg.rf.7cb7479a78f1a543d4f31851060be592.jpg,square,train
largeFaceShape_dataset\train\round\round-577_jpg.rf.75b182a9ff6e86700300a033f0695b7e.jpg,round,train
largeFaceShape_dataset\test\long\84_jpg.rf.1ca6490415096a69ab00c08ede3a87d9.jpg,long,test
largeFaceShape_dataset\train\long\oblong-845-_jpg.rf.9ff3707b928615605a4edbf3027d6f91.jpg,long,train
largeFaceShape_dataset\train\square\square-164_jpg.rf.e0b788ca71625714f4a0b2b1ea8b5f5a.jpg,square,train
largeFaceShape_dataset\train\heart\heart-470-_jpg.rf.7b957a72c8a4c97c58255074b65a05c6.jpg,heart,train
largeFaceShape_dataset\test\long\79_jpg.rf.8fb0faa9c2cf56f0f4d0e7725e455d8c.jpg,long,test
largeFaceShape_dataset\train\long\oblong-827-_jpg.rf.5e47bb9ab4a69d7ad2b64f7610745fec.jpg,long,train
largeFaceShape_dataset\train\round\round-535-_jpg.rf.15a06aed527753fd77f72aa9a478c638.jpg,round,train
largeFaceShape_dataset\train\oval\image-ovale-243_jpg.rf.db97a532af99dc37f55aeacadaa3db39.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-694-_jpg.rf.641bee4e4e40a59e3b3b8ad5d00d4977.jpg,heart,train
largeFaceShape_dataset\train\round\round-857-_jpg.rf.02814801c8fe4d1fa0da1740a81c71da.jpg,round,train
largeFaceShape_dataset\train\round\round-259-_jpg.rf.ae525b9237885573e96e23f284697d9f.jpg,round,train
largeFaceShape_dataset\train\round\round-653-_jpg.rf.ab97961f6702c116f67185c188e400a9.jpg,round,train
largeFaceShape_dataset\train\long\oblong-122-_jpg.rf.870bbac860125fcc7f65d31896cfb65b.jpg,long,train
largeFaceShape_dataset\train\square\square-228_jpg.rf.67e49c7f12e940ec795968909bf59ab0.jpg,square,train
largeFaceShape_dataset\train\long\oblong-612-_jpg.rf.2ab7d2e8c3590cdb27999ef6e5e3ba8a.jpg,long,train
largeFaceShape_dataset\train\square\square-930-_jpg.rf.7d976804bdb88b70a5e535f6d8d273a3.jpg,square,train
largeFaceShape_dataset\train\oval\oval-444-_jpg.rf.20d7d72ef43538155cfd2e034d0be8a6.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-340-_jpg.rf.36dc907c7982350dfc6aaeae0f392fce.jpg,oval,train
largeFaceShape_dataset\train\round\round-50-_jpg.rf.483fe12f965f517c68d1991322e19cec.jpg,round,train
largeFaceShape_dataset\train\square\square-99-_jpg.rf.2134f3cf8922e08654778e4431e64164.jpg,square,train
largeFaceShape_dataset\train\oval\oval-309-_jpg.rf.515672c4993dd866195e737e8852bda4.jpg,oval,train
largeFaceShape_dataset\train\round\round-499-_jpg.rf.27fff25f12cdc097c55465328ef2bc6d.jpg,round,train
largeFaceShape_dataset\train\heart\heart-835-_jpg.rf.78fb200a965dafe69ced9224e2312e21.jpg,heart,train
largeFaceShape_dataset\train\square\square-374-_jpg.rf.a4b689950892c6c2c766044936b51a4b.jpg,square,train
largeFaceShape_dataset\train\long\oblong-350-_jpg.rf.e550846173520901800a5cab34e0d469.jpg,long,train
largeFaceShape_dataset\train\square\image-square-158_jpg.rf.21c0f5aebcd9af6accab451424e83a76.jpg,square,train
largeFaceShape_dataset\train\square\sqaure-201_jpg.rf.0b9c75e4453ef924ff4b4e8909e83a96.jpg,square,train
largeFaceShape_dataset\train\round\round-673_jpg.rf.4b8692a54f363851b589f5a7c94fa1ca.jpg,round,train
largeFaceShape_dataset\train\heart\heart-635-_jpg.rf.da393399079f9e20507f151c337931e9.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-728-_jpg.rf.b15567d1da6371e2226b259b30226207.jpg,long,train
largeFaceShape_dataset\test\round\round-13-_jpg.rf.5c84fea249a7573ae0d9ae4268c65f90.jpg,round,test
largeFaceShape_dataset\train\heart\heart-935-_jpg.rf.f328b97798cab222e4c559fac55da183.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-104-_jpg.rf.125c85e34cea6cb82a0e0301e79bb701.jpg,heart,train
largeFaceShape_dataset\train\square\square-221-_jpg.rf.c3ef7534dbdfbd777b6015811dd10072.jpg,square,train
largeFaceShape_dataset\train\long\oblong-206-_jpg.rf.06cf45b6066c1e318c23e3fef238a354.jpg,long,train
largeFaceShape_dataset\test\long\oblong-910-_jpg.rf.c60c221d629107930501a98d1ed600f8.jpg,long,test
largeFaceShape_dataset\train\heart\heart-972-_jpg.rf.87a8ebf471a73644541be22b92bb4f35.jpg,heart,train
largeFaceShape_dataset\train\oval\15_jpg.rf.8a7d2f4dd0b5326027007d5e36e13033.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-247-_jpg.rf.a933ebe96bcc00605655f8b6285d4a7f.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-488-_jpg.rf.b47304a5de460e7535de7aed5b49e46f.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-490-_jpg.rf.6fb5ddc7ed6b1910ae7b0e3c7c9bfb83.jpg,long,train
largeFaceShape_dataset\train\square\square-249_jpg.rf.5266b9071e5356f5ba90b75ea36d490f.jpg,square,train
largeFaceShape_dataset\test\square\square-65-_jpg.rf.2e55504671563a323e34c9aee30ba5ef.jpg,square,test
largeFaceShape_dataset\train\long\oblong-542-_jpg.rf.af72f51a1428409d6db3aec4f328fb4a.jpg,long,train
largeFaceShape_dataset\train\square\square-909-_jpg.rf.2784475987db427dd777975c4ae8a99a.jpg,square,train
largeFaceShape_dataset\train\square\square-333-_jpg.rf.02b9542458338a628a8da56c6db54da7.jpg,square,train
largeFaceShape_dataset\test\oval\ovale-t89_jpg.rf.1f4e1152f6886ce88c5aad517d9add71.jpg,oval,test
largeFaceShape_dataset\train\round\round-678_jpg.rf.580fbc7d1db93e5fa6037bc32b13f993.jpg,round,train
largeFaceShape_dataset\train\oval\ovale-318_jpg.rf.e9283b989939c1a554d2fa29265c21e5.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-426-_jpg.rf.c47c8a84b99a281018af365dc424ba5f.jpg,heart,train
largeFaceShape_dataset\train\square\sqaure-210_jpg.rf.d66ac60605a44490ca18e387f9da6393.jpg,square,train
largeFaceShape_dataset\train\oval\ovale-300_jpg.rf.2cf88f8ce564e2d75cc647fa74f42c56.jpg,oval,train
largeFaceShape_dataset\train\round\round-204-_jpg.rf.f36d2a83aee435b0c1076e22bcc73f52.jpg,round,train
largeFaceShape_dataset\train\heart\heart-378-_jpg.rf.ec5dcab1330f6836ed94defe2b85f565.jpg,heart,train
largeFaceShape_dataset\train\round\round-660-_jpg.rf.0620e46bfb89b51cd47b1c3f699c5bd9.jpg,round,train
largeFaceShape_dataset\train\oval\oval-356-_jpg.rf.734cd1575b33da354a0785c44cccf299.jpg,oval,train
largeFaceShape_dataset\train\round\round-843-_jpg.rf.426c2081a6a763927ba79430f2ad2298.jpg,round,train
largeFaceShape_dataset\train\oval\oval-235-_jpg.rf.df2d35a66d22427a71bd4ad5dc927021.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-887-_jpg.rf.064bc6dd1318b70764c653ccfebf0b59.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-346-_jpg.rf.2ab2f65b8b48589e08311205a537b0c0.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-841-_jpg.rf.d871438d7b2f808bd8d3bfd90ab32ede.jpg,long,train
largeFaceShape_dataset\train\oval\oval-331-_jpg.rf.4441761b062be8f348d41939b21d3b99.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-960-_jpg.rf.c619a12990603d2751b197e16d9ced07.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-962-_jpg.rf.a6e8e7400c84b33e071a01369381894b.jpg,long,train
largeFaceShape_dataset\train\oval\oval-203-_jpg.rf.c739178e31ae02555dbb309999290924.jpg,oval,train
largeFaceShape_dataset\train\square\square-955-_jpg.rf.968dbcd6f9b82a2719c4ae42e5e5cc8d.jpg,square,train
largeFaceShape_dataset\train\heart\heart-710-_jpg.rf.13fd0bf7d76980c3fbde4976ec10376c.jpg,heart,train
largeFaceShape_dataset\train\oval\oval-110-_jpg.rf.2ef35b81276d94f01661e4c9226415ad.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-903-_jpg.rf.e92627b4ceba80053138436641a7256d.jpg,oval,train
largeFaceShape_dataset\train\square\square-583-_jpg.rf.a8261dd8214a9fd71b11675af8452b4c.jpg,square,train
largeFaceShape_dataset\train\round\round-816-_jpg.rf.cd4043394dbc0daeffbc2184a7a61454.jpg,round,train
largeFaceShape_dataset\train\oval\ovale-412_jpg.rf.be1a770df5fc599d182004350653fb29.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-435-_jpg.rf.f0f55160afedf0c7ef26c42d4b6dc065.jpg,oval,train
largeFaceShape_dataset\train\square\square-347-_jpg.rf.4403ef578766eb750eba118dffd342bf.jpg,square,train
largeFaceShape_dataset\train\heart\heart-31-_jpg.rf.5bfeda5b0558b783f3c02c7afeb9b0b4.jpg,heart,train
largeFaceShape_dataset\train\square\square-387-_jpg.rf.fdf4e641c86e1d9439917275c12ede21.jpg,square,train
largeFaceShape_dataset\train\heart\heart-620-_jpg.rf.41055428aa40e6da65de7d5753775524.jpg,heart,train
largeFaceShape_dataset\train\round\round-978-_jpg.rf.636c94c5395a6aaecac6e8de82c640bd.jpg,round,train
largeFaceShape_dataset\train\oval\oval-374-_jpg.rf.653b855f59e354b900494449ad67cc22.jpg,oval,train
largeFaceShape_dataset\train\square\image-square-107_jpg.rf.7c769998f515187759eac53268ee4863.jpg,square,train
largeFaceShape_dataset\train\round\round-495_jpg.rf.718e555a90a4a8c4e983fd99b9b4db88.jpg,round,train
largeFaceShape_dataset\train\heart\heart-426-_jpg.rf.eccb505ebcfb8eccc67d9f8e022b6ea9.jpg,heart,train
largeFaceShape_dataset\train\round\images-round-16_jpg.rf.47bf79ba8c5a45e92e4575ce14b94604.jpg,round,train
largeFaceShape_dataset\train\heart\heart-492-_jpg.rf.8601b1603f17afa5f4ff41984137fdc1.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-401-_jpg.rf.df4bfb0f64bdab5abc457c9844fd0f4c.jpg,heart,train
largeFaceShape_dataset\train\square\square-799-_jpg.rf.7f768680626a088aa8cde120034db83f.jpg,square,train
largeFaceShape_dataset\test\square\7_jpg.rf.1d2d55e631855a886d934c9f3c6760b6.jpg,square,test
largeFaceShape_dataset\test\square\square-232-_jpg.rf.fe549ca3c9c95098bbd97b018c320cba.jpg,square,test
largeFaceShape_dataset\train\square\square-668-_jpg.rf.ad84cb5bc4111812e9614169fc824ff9.jpg,square,train
largeFaceShape_dataset\train\oval\ovale-363_jpg.rf.4e1c0aab4ed3558dd5368c5c43ba2c05.jpg,oval,train
largeFaceShape_dataset\train\heart\heart-739-_jpg.rf.513cd57a4db27db80aceb7893da9ff04.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-998-_jpg.rf.d5893ad608346fbdf25fc929eeaa5810.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-479-_jpg.rf.135c18ed172f7df2ae5622a92870332d.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-166-_jpg.rf.98b604b8c5a995045567aec4494096dc.jpg,heart,train
largeFaceShape_dataset\train\square\155_jpg.rf.b04239e95294f98d1528916ebb932b07.jpg,square,train
largeFaceShape_dataset\train\long\oblong-934-_jpg.rf.cf48afbd5a3964dfb962e9733085041b.jpg,long,train
largeFaceShape_dataset\train\square\square-30-_jpg.rf.f52b73aeba3f6b9c7ba987a48e8bcd07.jpg,square,train
largeFaceShape_dataset\train\heart\heart-270-_jpg.rf.038d1ee6852c7b9b28eb6fc04c536587.jpg,heart,train
largeFaceShape_dataset\train\round\round-556-_jpg.rf.d99d71ce73ff7ce2c5008021d35a0b14.jpg,round,train
largeFaceShape_dataset\train\square\square-44-_jpg.rf.a76eba2f6a159bfee6635abdf6d55429.jpg,square,train
largeFaceShape_dataset\train\square\square-313-_jpg.rf.06ee93719d1a90ff55459ab9982a0245.jpg,square,train
largeFaceShape_dataset\train\oval\oval-264-_jpg.rf.74169bbff29a48bac2346d8b33daa4e2.jpg,oval,train
largeFaceShape_dataset\train\long\oblong-284-_jpg.rf.4bc81ed03c20c0899f79ce7d4f3100f4.jpg,long,train
largeFaceShape_dataset\train\long\oblong-904-_jpg.rf.bdb6b86364c6a007c1acf8edef4148f6.jpg,long,train
largeFaceShape_dataset\train\heart\heart-696-_jpg.rf.dedabe7f8aa1175fa3e2642bd999a785.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-634-_jpg.rf.476986a78085b202931ce04f180eb014.jpg,heart,train
largeFaceShape_dataset\train\heart\heart-427-_jpg.rf.55a947540666e381c73fd12baddc4a2c.jpg,heart,train
largeFaceShape_dataset\test\heart\heart-609-_jpg.rf.c7aecda10afd76895225472629caff5d.jpg,heart,test
largeFaceShape_dataset\train\square\square-184-_jpg.rf.50c4eab1b0f215d41a4c6e7af78158b4.jpg,square,train
largeFaceShape_dataset\train\square\square-353-_jpg.rf.8202c850aba158281a3b033452bc4c72.jpg,square,train
largeFaceShape_dataset\train\heart\heart-190-_jpg.rf.15b1b9c6818390b7810c891cbdaa0589.jpg,heart,train
largeFaceShape_dataset\train\long\oblong-279-_jpg.rf.6cf5102592aae2aca23f527a797ac1a2.jpg,long,train
largeFaceShape_dataset\train\oval\oval-733-_jpg.rf.8719f8b7ba38b9e68bf660664c79eddd.jpg,oval,train
largeFaceShape_dataset\train\oval\oval-102-_jpg.rf.7668c83220f7376c092f66ed7d2647cd.jpg,oval,train
